Year,Month,Day,CPI,DfF,GDP,Leading_index,Manufacturing_PMI,Services_PMI,Unemployment_Rate,Closing price
2000,11,28,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,29,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,11,30,78.9707207568715,,10250952000000.0,99.47673,,,3.992,
2000,12,1,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,2,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,3,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,4,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,5,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,6,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,7,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,8,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,9,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,10,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,11,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,12,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,13,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,14,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,15,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,16,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,17,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,18,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,19,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,20,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,21,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,22,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,23,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,24,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,25,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,26,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,27,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,28,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,29,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,30,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2000,12,31,78.9707207568715,,10250952000000.0,99.10542,,,3.992,
2001,1,1,81.2025684592531,,10581929000000.0,98.76692,,,4.731,
2001,1,2,81.2025684592531,,10581929000000.0,98.76692,,,4.731,
2001,1,3,81.2025684592531,,10581929000000.0,98.76692,,,4.731,
2001,1,4,81.2025684592531,,10581929000000.0,98.76692,,,4.731,
2001,1,5,81.2025684592531,,10581929000000.0,98.76692,,,4.731,
2001,1,6,81.2025684592531,,10581929000000.0,98.76692,,,4.731,
2001,1,7,81.2025684592531,,10581929000000.0,98.76692,,,4.731,
2001,1,8,81.2025684592531,,10581929000000.0,98.76692,,,4.731,
2001,1,9,81.2025684592531,,10581929000000.0,98.76692,,,4.731,
